segment_index,start,end,duration,active_task_count,demand_req,cross_demand_req,required_cross_link_count,cross_link_count,cross_capacity,cross_supply,cross_rate_used,cross_data_used,eta_cap_shortfall,zero_cross_req,zero_cross_demand,eta0_indicator
179,11700.0,11760.0,60.0,6,494.8008342564254,494.8008342564254,1,2,1600.0,1600.0,1204.3,72258.0,0.0,0,0,0
180,11760.0,11820.0,60.0,6,483.7885048506114,483.7885048506114,1,2,1600.0,1600.0,1204.3,72258.0,0.0,0,0,0
181,11820.0,11880.0,60.0,6,472.402807668522,472.402807668522,1,2,1600.0,1600.0,1204.3,72258.0,0.0,0,0,0
182,11880.0,12000.0,120.0,6,460.623255991685,460.623255991685,1,2,1600.0,1600.0,1204.3,144516.0,0.0,0,0,0
183,12000.0,12060.0,60.0,6,435.7924978687127,435.7924978687127,1,2,1600.0,1600.0,1204.3000000000002,72258.0,0.0,0,0,0
184,12060.0,12120.0,60.0,6,422.69166139564777,422.69166139564777,1,2,1600.0,1600.0,1204.3000000000002,72258.0,0.0,0,0,0
185,12120.0,12180.0,60.0,6,409.0973165388828,409.0973165388828,1,2,1600.0,1600.0,1204.3000000000002,72258.0,0.0,0,0,0
186,12180.0,12240.0,60.0,6,394.9791313263659,394.9791313263659,1,2,1600.0,1600.0,1204.3000000000002,72258.0,0.0,0,0,0
187,12240.0,12300.0,60.0,6,380.30411271881894,380.30411271881894,1,2,1600.0,1600.0,1204.3000000000002,72258.0,0.0,0,0,0
188,12300.0,12360.0,60.0,6,365.03629818826676,365.03629818826676,1,2,1600.0,1600.0,1204.3000000000002,72258.0,0.0,0,0,0
189,12360.0,12420.0,60.0,6,349.1364023739973,349.1364023739973,1,2,1600.0,1600.0,1204.3000000000002,72258.0,0.0,0,0,0
190,12420.0,12480.0,60.0,6,332.56141086983195,332.56141086983195,1,2,1600.0,1600.0,1010.5999999999999,60636.0,0.0,0,0,0
191,12480.0,12540.0,60.0,5,320.499246665988,320.499246665988,1,2,1600.0,1600.0,986.3999999999999,59184.0,0.0,0,0,0
192,12540.0,12600.0,60.0,5,308.6258849489205,308.6258849489205,1,2,1600.0,1600.0,986.3999999999999,59184.0,0.0,0,0,0
193,12600.0,12660.0,60.0,5,296.2751207729469,296.2751207729469,1,2,1600.0,1600.0,986.3999999999999,59184.0,0.0,0,0,0
194,12660.0,12720.0,60.0,5,283.4147717465365,283.4147717465365,1,2,1600.0,1600.0,986.3999999999999,59184.0,0.0,0,0,0
195,12720.0,12780.0,60.0,5,270.0094694242994,270.0094694242994,1,2,1600.0,1600.0,986.3999999999999,59184.0,0.0,0,0,0
196,12780.0,12840.0,60.0,5,256.0202316677437,256.0202316677437,1,2,1600.0,1600.0,986.3999999999999,59184.0,0.0,0,0,0
197,12840.0,12900.0,60.0,5,241.4039612676056,241.4039612676056,1,2,1600.0,1600.0,986.3999999999999,59184.0,0.0,0,0,0
198,12900.0,13020.0,120.0,5,226.1128551029907,226.1128551029907,1,2,1600.0,1600.0,818.2,98184.0,0.0,0,0,0
